note_id,student_id,term_id,intervention_type,note_date
1,5,1,tutoring,2024-11-18
2,5,1,financial_aid_check,2025-02-06
3,6,1,advising_meeting,2025-09-21
4,8,1,call,2024-06-07
5,8,1,financial_aid_check,2025-07-01
6,8,1,tutoring,2025-10-26
7,9,1,financial_aid_check,2024-08-13
8,11,1,advising_meeting,2025-08-02
9,12,1,advising_meeting,2025-10-28
10,13,1,call,2024-09-27
11,15,1,tutoring,2025-08-03
12,15,1,tutoring,2023-12-16
13,15,1,advising_meeting,2024-03-01
14,20,1,advising_meeting,2025-03-24
15,20,1,call,2025-02-28
16,21,1,email,2025-09-02
17,21,1,tutoring,2024-03-15
18,21,1,call,2025-01-13
19,22,1,financial_aid_check,2023-11-14
20,22,1,tutoring,2024-05-02
21,23,1,tutoring,2024-08-10
22,23,1,financial_aid_check,2023-11-10
23,23,1,advising_meeting,2023-11-12
24,31,1,financial_aid_check,2024-10-04
25,35,1,counseling,2025-03-01
26,35,1,email,2024-06-06
27,38,1,tutoring,2024-08-06
28,38,1,call,2024-07-21
29,38,1,advising_meeting,2024-10-25
30,41,1,advising_meeting,2024-03-01
31,41,1,financial_aid_check,2025-08-24
32,41,1,advising_meeting,2024-06-13
33,43,1,financial_aid_check,2025-05-16
34,46,1,tutoring,2025-10-17
35,46,1,call,2024-10-13
36,46,1,call,2024-08-16
37,48,1,email,2024-02-28
38,48,1,call,2025-02-26
39,48,1,tutoring,2025-05-20
40,49,1,call,2025-05-18
41,49,1,advising_meeting,2024-10-22
42,49,1,financial_aid_check,2024-07-30
43,51,1,advising_meeting,2025-08-26
44,52,1,tutoring,2024-12-17
45,52,1,advising_meeting,2024-03-08
46,58,1,tutoring,2023-11-21
47,59,1,counseling,2024-09-14
48,59,1,counseling,2025-04-07
49,60,1,email,2025-08-30
50,60,1,counseling,2025-02-16
51,61,1,tutoring,2024-01-23
52,61,1,counseling,2024-05-29
53,63,1,counseling,2024-07-03
54,64,1,email,2024-10-19
55,64,1,call,2024-01-12
56,64,1,tutoring,2024-09-29
57,67,1,counseling,2024-10-15
58,67,1,call,2025-03-04
59,71,1,counseling,2024-04-19
60,71,1,financial_aid_check,2025-07-31
61,72,1,advising_meeting,2024-07-12
62,75,1,advising_meeting,2025-08-26
63,75,1,call,2024-07-21
64,79,1,advising_meeting,2025-01-11
65,79,1,financial_aid_check,2023-12-14
66,79,1,counseling,2024-08-23
67,82,1,call,2024-09-08
68,83,1,advising_meeting,2024-12-14
69,86,1,call,2024-05-03
70,88,1,tutoring,2025-09-12
71,88,1,counseling,2024-08-04
72,88,1,financial_aid_check,2024-04-08
73,91,1,counseling,2024-07-15
74,91,1,call,2025-02-09
75,91,1,call,2024-06-16
76,92,1,counseling,2024-06-01
77,93,1,advising_meeting,2024-07-07
78,93,1,tutoring,2024-11-02
79,93,1,financial_aid_check,2024-04-20
80,94,1,advising_meeting,2025-04-01
81,94,1,counseling,2024-05-09
82,94,1,advising_meeting,2025-09-05
83,95,1,financial_aid_check,2025-07-17
84,95,1,call,2025-04-04
85,95,1,call,2025-10-02
86,96,1,tutoring,2024-03-02
87,96,1,advising_meeting,2024-12-06
88,98,1,advising_meeting,2025-08-12
89,98,1,call,2024-06-29
90,98,1,financial_aid_check,2025-10-26
91,101,1,advising_meeting,2024-12-15
92,101,1,tutoring,2024-04-11
93,101,1,email,2023-11-17
94,102,1,call,2023-11-25
95,102,1,call,2024-10-03
96,102,1,advising_meeting,2025-01-19
97,108,1,call,2025-01-14
98,109,1,advising_meeting,2025-01-18
99,111,1,tutoring,2025-08-14
100,111,1,tutoring,2024-12-26
101,113,1,financial_aid_check,2025-03-29
102,117,1,advising_meeting,2024-03-13
103,118,1,tutoring,2024-10-04
104,118,1,financial_aid_check,2025-10-06
105,120,1,advising_meeting,2023-12-17
106,123,1,tutoring,2024-11-28
107,123,1,financial_aid_check,2025-04-14
108,123,1,call,2023-12-16
109,124,1,advising_meeting,2024-08-01
110,124,1,advising_meeting,2025-07-01
111,128,1,call,2024-04-06
112,131,1,counseling,2024-07-12
113,131,1,advising_meeting,2025-10-17
114,132,1,financial_aid_check,2024-04-21
115,134,1,call,2024-04-28
116,134,1,financial_aid_check,2024-03-14
117,135,1,advising_meeting,2024-08-31
118,135,1,call,2024-01-19
119,138,1,call,2025-02-02
120,138,1,counseling,2025-07-22
121,139,1,email,2024-09-15
122,139,1,financial_aid_check,2025-04-30
123,140,1,tutoring,2024-03-02
124,140,1,advising_meeting,2025-06-15
125,141,1,advising_meeting,2024-03-28
126,141,1,counseling,2024-09-28
127,142,1,counseling,2023-11-04
128,142,1,tutoring,2024-05-04
129,144,1,call,2024-05-07
130,144,1,call,2023-12-25
131,144,1,financial_aid_check,2025-09-27
132,145,1,tutoring,2024-09-12
133,145,1,advising_meeting,2024-04-18
134,146,1,advising_meeting,2024-01-27
135,146,1,email,2024-11-12
136,147,1,financial_aid_check,2024-05-14
137,147,1,tutoring,2025-04-12
138,151,1,financial_aid_check,2024-11-01
139,151,1,call,2024-06-04
140,151,1,tutoring,2025-09-22
141,152,1,financial_aid_check,2024-10-19
142,152,1,call,2024-08-18
143,153,1,call,2025-07-04
144,155,1,call,2023-11-10
145,155,1,counseling,2024-02-22
146,155,1,email,2025-06-01
147,157,1,call,2024-12-28
148,157,1,call,2025-02-10
149,158,1,call,2024-02-15
150,158,1,tutoring,2024-12-19
151,159,1,advising_meeting,2024-01-09
152,160,1,financial_aid_check,2024-11-21
153,160,1,email,2024-04-17
154,160,1,financial_aid_check,2025-08-04
155,161,1,tutoring,2025-07-04
156,161,1,counseling,2025-05-16
157,162,1,call,2025-05-22
158,162,1,call,2025-09-19
159,162,1,tutoring,2024-04-26
160,164,1,email,2025-01-05
161,165,1,financial_aid_check,2025-07-06
162,165,1,tutoring,2023-11-10
163,165,1,advising_meeting,2023-11-12
164,169,1,financial_aid_check,2024-05-09
165,179,1,counseling,2025-03-14
166,179,1,advising_meeting,2025-09-24
167,184,1,financial_aid_check,2025-01-30
168,186,1,tutoring,2025-01-28
169,186,1,financial_aid_check,2025-09-27
170,186,1,advising_meeting,2025-02-11
171,187,1,financial_aid_check,2024-11-14
172,187,1,financial_aid_check,2024-04-19
173,187,1,advising_meeting,2025-10-19
174,190,1,email,2025-03-24
175,190,1,counseling,2023-11-26
176,193,1,call,2024-08-20
177,195,1,advising_meeting,2025-04-11
178,195,1,counseling,2025-03-13
179,195,1,call,2024-03-05
180,198,1,tutoring,2024-07-12
181,198,1,advising_meeting,2024-01-09
182,198,1,advising_meeting,2024-04-23
183,200,1,call,2024-07-10
184,201,1,advising_meeting,2025-08-08
185,201,1,advising_meeting,2024-12-04
186,201,1,tutoring,2024-08-31
187,202,1,counseling,2025-08-02
188,202,1,email,2024-10-15
189,204,1,advising_meeting,2025-01-30
190,204,1,call,2025-08-03
191,204,1,counseling,2023-11-05
192,206,1,email,2025-02-22
193,206,1,email,2024-07-17
194,206,1,financial_aid_check,2024-12-18
195,210,1,financial_aid_check,2024-06-30
196,210,1,financial_aid_check,2024-05-23
197,211,1,call,2024-07-18
198,211,1,counseling,2024-10-22
199,211,1,tutoring,2025-03-31
200,212,1,financial_aid_check,2025-07-11
201,212,1,advising_meeting,2025-05-08
202,212,1,counseling,2025-10-10
203,214,1,advising_meeting,2024-04-22
204,214,1,call,2023-12-06
205,214,1,email,2025-03-06
206,215,1,counseling,2024-08-04
207,220,1,email,2025-06-18
208,222,1,tutoring,2024-10-31
209,224,1,counseling,2024-10-30
210,224,1,advising_meeting,2023-12-09
211,224,1,counseling,2024-09-12
212,225,1,tutoring,2024-09-03
213,225,1,advising_meeting,2024-05-05
214,225,1,email,2025-06-25
215,226,1,advising_meeting,2025-08-21
216,229,1,advising_meeting,2025-07-24
217,229,1,advising_meeting,2024-01-06
218,231,1,call,2025-08-28
219,231,1,advising_meeting,2024-01-01
220,231,1,tutoring,2025-07-15
221,233,1,email,2025-08-08
222,233,1,financial_aid_check,2023-11-21
223,235,1,financial_aid_check,2025-03-17
224,238,1,email,2025-08-23
225,238,1,counseling,2024-05-29
226,239,1,call,2024-07-15
227,239,1,tutoring,2024-01-09
228,239,1,tutoring,2023-11-28
229,241,1,tutoring,2024-04-18
230,241,1,advising_meeting,2025-05-25
231,241,1,advising_meeting,2024-06-18
232,243,1,email,2023-12-11
233,245,1,financial_aid_check,2025-02-27
234,247,1,counseling,2024-11-01
235,247,1,tutoring,2023-12-12
236,247,1,advising_meeting,2025-08-04
237,253,1,tutoring,2025-05-16
238,254,1,advising_meeting,2024-04-16
239,254,1,counseling,2024-11-12
240,254,1,call,2024-11-17
241,257,1,advising_meeting,2024-07-16
242,257,1,counseling,2024-09-28
243,259,1,counseling,2025-04-07
244,259,1,counseling,2025-02-15
245,259,1,counseling,2025-03-14
246,261,1,counseling,2025-04-27
247,261,1,counseling,2025-01-11
248,261,1,email,2023-12-28
249,263,1,advising_meeting,2024-09-23
250,263,1,tutoring,2025-10-16
251,263,1,advising_meeting,2025-03-04
252,264,1,tutoring,2025-10-22
253,264,1,advising_meeting,2025-08-03
254,264,1,tutoring,2024-05-16
255,266,1,financial_aid_check,2025-04-08
256,266,1,advising_meeting,2025-07-01
