enrollment_id,student_id,course_id,term_id,numeric_grade,course_gpa
1,1,57,1,80.9,3
2,1,117,1,64.6,1
3,1,75,1,85.9,3
4,1,66,1,83.6,3
5,1,62,1,66.7,1
6,2,13,1,75.2,2
7,2,42,1,74.5,2
8,2,30,1,64.5,1
9,2,16,1,81.3,3
10,2,69,1,92.7,4
11,3,44,1,75.2,2
12,3,33,1,87.3,3
13,3,75,1,71.2,2
14,3,77,1,89.3,3
15,3,24,1,68.3,1
16,4,69,1,84.3,3
17,4,79,1,80.3,3
18,4,5,1,66.2,1
19,4,119,1,59.0,0
20,4,38,1,69.0,1
21,5,21,1,80.9,3
22,5,27,1,79.2,2
23,5,63,1,77.2,2
24,5,47,1,70.2,2
25,5,112,1,67.7,1
26,6,78,1,81.6,3
27,6,45,1,74.8,2
28,6,19,1,81.4,3
29,6,90,1,73.4,2
30,6,64,1,88.6,3
31,7,105,1,86.7,3
32,7,106,1,83.7,3
33,7,91,1,86.4,3
34,7,50,1,84.2,3
35,7,120,1,86.6,3
36,8,62,1,64.3,1
37,8,13,1,65.9,1
38,8,55,1,78.5,2
39,8,110,1,60.4,1
40,8,32,1,82.2,3
41,9,106,1,92.0,4
42,9,16,1,81.5,3
43,9,115,1,63.4,1
44,9,64,1,82.9,3
45,9,26,1,73.7,2
46,10,43,1,70.7,2
47,10,107,1,74.2,2
48,10,10,1,82.4,3
49,10,22,1,77.4,2
50,10,89,1,81.4,3
51,11,95,1,79.1,2
52,11,87,1,81.9,3
53,11,74,1,83.6,3
54,11,70,1,83.3,3
55,11,23,1,63.3,1
56,12,114,1,81.7,3
57,12,58,1,74.6,2
58,12,109,1,77.2,2
59,12,110,1,81.7,3
60,12,61,1,88.4,3
61,13,19,1,64.7,1
62,13,20,1,67.4,1
63,13,34,1,90.4,4
64,13,71,1,62.5,1
65,13,5,1,59.1,0
66,14,69,1,72.2,2
67,14,62,1,66.8,1
68,14,108,1,79.0,2
69,14,37,1,80.0,3
70,14,87,1,82.8,3
71,15,96,1,66.0,1
72,15,10,1,77.8,2
73,15,102,1,78.7,2
74,15,95,1,83.4,3
75,15,111,1,60.0,1
76,16,20,1,56.2,0
77,16,21,1,84.7,3
78,16,44,1,56.6,0
79,16,96,1,80.2,3
80,16,29,1,62.8,1
81,17,76,1,74.9,2
82,17,15,1,87.8,3
83,17,16,1,68.7,1
84,17,21,1,82.0,3
85,17,81,1,83.6,3
86,18,11,1,79.8,2
87,18,31,1,73.5,2
88,18,32,1,87.2,3
89,18,46,1,67.5,1
90,18,43,1,78.3,2
91,19,117,1,66.8,1
92,19,105,1,83.3,3
93,19,106,1,76.7,2
94,19,70,1,71.2,2
95,19,20,1,74.1,2
96,20,13,1,60.7,1
97,20,107,1,53.0,0
98,20,46,1,70.0,2
99,20,3,1,71.1,2
100,20,53,1,62.2,1
101,21,70,1,70.3,2
102,21,108,1,67.4,1
103,21,75,1,79.4,2
104,21,23,1,69.8,1
105,21,63,1,71.4,2
106,22,32,1,70.7,2
107,22,95,1,84.0,3
108,22,119,1,61.0,1
109,22,49,1,64.3,1
110,22,80,1,66.1,1
111,23,23,1,72.1,2
112,23,8,1,79.9,2
113,23,96,1,58.4,0
114,23,53,1,69.3,1
115,23,22,1,87.9,3
116,24,82,1,66.9,1
117,24,57,1,61.4,1
118,24,10,1,72.9,2
119,24,94,1,79.5,2
120,24,69,1,73.0,2
121,25,32,1,89.2,3
122,25,27,1,95.7,4
123,25,53,1,78.3,2
124,25,99,1,82.3,3
125,25,100,1,74.6,2
126,26,3,1,77.7,2
127,26,21,1,66.2,1
128,26,11,1,75.1,2
129,26,110,1,63.1,1
130,26,59,1,67.4,1
131,27,26,1,77.4,2
132,27,115,1,67.0,1
133,27,3,1,78.6,2
134,27,109,1,84.6,3
135,27,25,1,75.3,2
136,28,12,1,86.2,3
137,28,27,1,80.5,3
138,28,70,1,81.6,3
139,28,46,1,96.6,4
140,28,22,1,86.9,3
141,29,12,1,93.0,4
142,29,80,1,91.2,4
143,29,68,1,68.2,1
144,29,67,1,84.7,3
145,29,120,1,57.9,0
146,30,17,1,50.7,0
147,30,72,1,69.9,1
148,30,40,1,76.0,2
149,30,13,1,71.1,2
150,30,9,1,75.4,2
151,31,76,1,81.0,3
152,31,3,1,67.4,1
153,31,69,1,69.1,1
154,31,90,1,76.3,2
155,31,25,1,76.9,2
156,32,93,1,61.8,1
157,32,70,1,69.1,1
158,32,58,1,81.8,3
159,32,48,1,74.8,2
160,32,78,1,72.6,2
161,33,18,1,82.2,3
162,33,48,1,63.5,1
163,33,101,1,55.5,0
164,33,88,1,88.7,3
165,33,51,1,69.9,1
166,34,59,1,79.6,2
167,34,3,1,67.9,1
168,34,110,1,67.8,1
169,34,117,1,72.2,2
170,34,51,1,73.8,2
171,35,64,1,61.7,1
172,35,20,1,69.5,1
173,35,49,1,66.6,1
174,35,62,1,86.9,3
175,35,69,1,70.9,2
176,36,5,1,85.7,3
177,36,3,1,76.1,2
178,36,30,1,83.5,3
179,36,59,1,68.8,1
180,36,116,1,58.9,0
181,37,68,1,81.4,3
182,37,81,1,85.6,3
183,37,46,1,73.0,2
184,37,80,1,68.9,1
185,37,40,1,77.0,2
186,38,106,1,75.2,2
187,38,35,1,74.5,2
188,38,28,1,74.5,2
189,38,94,1,68.2,1
190,38,32,1,82.7,3
191,39,118,1,70.4,2
192,39,22,1,70.8,2
193,39,18,1,81.1,3
194,39,54,1,72.6,2
195,39,56,1,76.6,2
196,40,78,1,81.9,3
197,40,110,1,57.6,0
198,40,2,1,66.3,1
199,40,36,1,73.9,2
200,40,7,1,62.4,1
201,41,64,1,58.4,0
202,41,60,1,79.9,2
203,41,89,1,80.9,3
204,41,40,1,63.6,1
205,41,84,1,62.2,1
206,42,16,1,82.6,3
207,42,21,1,74.2,2
208,42,119,1,79.4,2
209,42,8,1,74.2,2
210,42,40,1,92.8,4
211,43,114,1,49.9,0
212,43,103,1,80.6,3
213,43,59,1,88.7,3
214,43,66,1,79.2,2
215,43,60,1,61.6,1
216,44,15,1,65.3,1
217,44,17,1,70.8,2
218,44,9,1,78.1,2
219,44,29,1,71.9,2
220,44,24,1,66.4,1
221,45,106,1,72.1,2
222,45,81,1,77.9,2
223,45,104,1,89.4,3
224,45,64,1,79.9,2
225,45,82,1,84.3,3
226,46,83,1,64.7,1
227,46,50,1,78.6,2
228,46,40,1,74.5,2
229,46,88,1,62.2,1
230,46,100,1,74.8,2
231,47,72,1,68.2,1
232,47,97,1,63.9,1
