student_id,household_income_usd,scholarship_flag,aid_amount_usd,work_hours_per_week,outstanding_balance_usd
1,26005,1,9259,21,0
2,138197,0,5468,18,0
3,30386,0,12542,12,694
4,19266,1,8952,23,0
5,87716,0,0,4,1308
6,42100,0,10482,11,377
7,18339,0,3785,27,0
8,30080,0,8608,12,751
9,26504,0,14638,12,0
10,41323,0,16409,14,965
11,13982,0,10775,5,0
12,14546,1,15262,3,619
13,25481,1,12980,8,922
14,17534,1,13218,11,0
15,54739,0,11677,21,1616
16,16041,0,3728,14,0
17,126055,0,2878,24,845
18,27144,1,14054,16,0
19,32174,0,9225,19,0
20,36703,0,8637,17,862
21,28460,0,6102,25,985
22,60344,0,6568,12,720
23,32446,1,15027,13,1192
24,21745,0,4605,4,0
25,13108,1,10054,19,0
26,37601,0,4847,8,1112
27,51464,0,1786,18,0
28,13899,0,8428,14,0
29,23655,0,10964,3,502
30,53072,1,5750,13,838
31,17840,0,5159,9,828
32,17743,1,5265,1,0
33,27148,1,10533,15,618
34,65460,0,6056,26,0
35,51594,0,0,4,890
36,65489,0,6584,0,722
37,16380,0,12162,28,1297
38,20016,0,12636,0,412
39,26714,0,12836,26,227
40,24738,0,4025,23,1983
41,18656,0,3256,13,0
42,39676,1,7410,7,2081
43,11183,0,11892,21,424
44,32525,0,11752,13,0
45,80589,0,8012,27,108
46,31167,0,12473,16,1248
47,18046,1,12428,26,1223
48,13791,1,8071,18,2241
49,36919,0,6620,23,732
50,84274,0,2926,15,825
51,33795,0,7504,12,1311
52,24316,0,5562,9,0
53,18811,1,5989,5,502
54,12254,1,7055,11,748
55,35014,1,15978,4,0
56,11374,1,8148,9,489
57,51488,0,14309,14,85
58,43315,0,8230,16,505
59,26118,0,7084,23,1920
60,43856,0,10086,14,2256
61,32979,0,0,16,506
62,43622,0,16326,10,1000
63,50858,0,11821,12,1469
64,25514,0,8825,13,912
65,13659,0,11255,29,0
66,115244,1,10219,15,625
67,26161,0,5572,2,123
68,22999,0,7906,14,1252
69,38808,0,6313,5,100
70,26477,1,6405,7,651
71,13978,0,6421,12,837
72,14543,0,8851,16,0
73,17427,0,9422,15,0
74,36842,1,15642,7,0
75,19589,1,8763,0,1931
76,52120,1,7175,11,1104
77,27093,0,2970,11,591
78,28362,0,9769,11,1344
79,30822,0,13834,14,1592
80,15936,0,6436,9,576
81,63903,0,5748,19,916
82,35816,0,11460,17,53
83,26800,0,3746,19,1964
84,21644,1,16481,24,635
85,21394,0,7698,16,1521
86,14849,1,11503,12,1591
87,13373,0,8151,11,730
88,13375,0,0,18,1509
89,56262,0,7736,13,0
90,18771,1,8471,0,282
91,15587,0,9559,7,1291
92,64394,0,12571,24,309
93,30835,0,9972,0,1565
94,14702,0,5336,15,931
95,41875,0,14588,16,2331
96,71105,0,8181,11,525
97,44659,0,13123,7,600
98,32303,0,11528,4,833
99,39369,0,4014,14,1252
100,60894,0,12242,10,0
101,83850,0,11471,24,615
102,16804,1,10310,16,767
103,30134,0,6213,9,382
104,42734,0,11259,14,771
105,32965,0,11974,7,60
106,40856,0,6362,11,0
107,111879,1,12424,0,395
108,25410,0,6654,9,0
109,12738,1,7803,16,626
110,90223,0,9730,11,0
111,85877,0,11156,19,1326
112,41190,0,10075,22,136
