student_id,term_gpa,term_id
1,2.2,1
2,2.4,1
3,2.2,1
4,1.6,1
5,2.0,1
6,2.6,1
7,3.0,1
8,1.6,1
9,2.6,1
10,2.4,1
11,2.4,1
12,2.6,1
13,1.4,1
14,2.2,1
15,1.8,1
16,1.4,1
17,2.4,1
18,2.0,1
19,2.0,1
20,1.2,1
21,1.6,1
22,1.6,1
23,1.6,1
24,1.6,1
25,2.8,1
26,1.4,1
27,2.0,1
28,3.2,1
29,2.4,1
30,1.4,1
31,1.8,1
32,1.8,1
33,1.6,1
34,1.6,1
35,1.6,1
36,1.8,1
37,2.2,1
38,2.0,1
39,2.2,1
40,1.4,1
41,1.4,1
42,2.6,1
43,1.8,1
44,1.6,1
45,2.4,1
46,1.6,1
47,2.2,1
48,1.6,1
49,1.6,1
50,2.4,1
51,2.4,1
52,1.4,1
53,2.2,1
54,1.0,1
55,1.8,1
56,2.2,1
57,2.0,1
58,1.8,1
59,2.0,1
60,2.0,1
61,1.8,1
62,2.6,1
63,2.2,1
64,2.4,1
65,2.0,1
66,1.4,1
67,2.2,1
68,1.8,1
69,2.2,1
70,2.2,1
71,2.0,1
72,2.4,1
73,2.0,1
74,1.8,1
75,1.4,1
76,1.6,1
77,2.4,1
78,2.2,1
79,2.0,1
80,3.0,1
81,2.6,1
82,1.4,1
83,2.0,1
84,2.0,1
85,1.6,1
86,2.2,1
87,1.4,1
88,2.2,1
89,2.0,1
90,2.4,1
91,2.0,1
92,1.6,1
93,1.8,1
94,2.4,1
95,1.4,1
96,1.2,1
97,2.2,1
98,2.2,1
99,2.2,1
100,2.0,1
101,1.8,1
102,1.2,1
103,2.0,1
104,2.6,1
105,2.6,1
106,2.0,1
107,2.8,1
108,1.8,1
109,1.4,1
110,2.2,1
111,1.8,1
112,2.8,1
113,1.6,1
114,2.4,1
115,1.2,1
116,2.4,1
117,1.6,1
118,1.0,1
119,1.6,1
120,2.0,1
121,2.2,1
122,3.2,1
123,1.8,1
124,2.0,1
125,2.2,1
126,2.4,1
127,1.2,1
128,1.6,1
129,2.4,1
130,2.0,1
131,1.0,1
132,1.6,1
133,2.2,1
134,2.8,1
135,1.4,1
136,2.4,1
137,2.2,1
138,1.6,1
139,1.6,1
140,0.8,1
141,1.6,1
142,1.6,1
143,2.6,1
144,1.4,1
145,1.6,1
146,1.4,1
147,1.4,1
148,2.2,1
149,2.6,1
150,2.6,1
151,1.8,1
152,2.0,1
153,1.8,1
154,2.0,1
155,1.8,1
156,2.2,1
157,2.0,1
158,2.0,1
159,2.4,1
160,1.4,1
161,2.0,1
162,1.2,1
163,2.6,1
164,2.8,1
165,1.4,1
166,0.8,1
167,1.6,1
168,2.2,1
169,2.0,1
170,2.2,1
171,2.4,1
172,2.0,1
173,2.4,1
174,1.8,1
175,2.0,1
176,2.2,1
177,2.6,1
178,2.4,1
179,1.4,1
180,2.0,1
181,2.0,1
182,3.0,1
183,2.8,1
184,2.4,1
185,2.0,1
186,2.2,1
187,1.8,1
188,2.8,1
189,2.2,1
190,2.4,1
191,2.4,1
192,2.4,1
193,2.2,1
194,1.2,1
195,1.8,1
196,2.2,1
197,1.2,1
198,1.0,1
199,2.6,1
200,1.6,1
201,1.6,1
202,1.8,1
203,2.4,1
204,1.6,1
205,1.8,1
206,2.6,1
207,1.4,1
208,1.6,1
209,1.2,1
210,2.8,1
211,1.6,1
212,1.6,1
213,1.6,1
214,1.2,1
215,1.4,1
216,2.0,1
217,2.2,1
218,1.6,1
219,2.2,1
220,2.8,1
221,1.6,1
222,0.4,1
223,3.2,1
224,2.4,1
225,1.6,1
226,2.0,1
227,1.2,1
228,2.2,1
229,1.6,1
230,1.8,1
231,1.8,1
232,2.2,1
233,2.0,1
234,2.4,1
235,1.6,1
236,2.0,1
237,2.2,1
238,2.0,1
239,2.0,1
240,2.2,1
241,2.0,1
242,1.8,1
243,1.2,1
244,2.0,1
245,1.8,1
246,1.2,1
247,1.4,1
248,2.0,1
249,1.4,1
250,2.2,1
251,2.4,1
252,2.0,1
253,2.0,1
254,1.8,1
255,1.8,1
256,1.8,1
257,1.6,1
258,2.4,1
259,1.8,1
260,1.6,1
261,2.6,1
262,1.6,1
263,1.8,1
264,2.2,1
265,2.0,1
266,2.2,1
267,2.2,1
268,1.6,1
269,1.6,1
270,1.2,1
271,1.0,1
272,2.6,1
273,1.2,1
274,2.6,1
275,2.8,1
276,1.6,1
277,2.6,1
278,1.2,1
279,1.6,1
280,1.6,1
281,2.2,1
282,2.2,1
283,1.0,1
284,2.4,1
285,1.2,1
286,1.2,1
287,1.4,1
288,1.4,1
289,2.6,1
290,1.0,1
291,2.0,1
292,1.8,1
293,1.8,1
294,1.4,1
295,2.2,1
296,1.6,1
297,2.4,1
298,1.2,1
299,2.2,1
300,3.2,1
301,1.2,1
302,2.2,1
303,1.8,1
304,2.4,1
305,2.2,1
306,1.4,1
307,1.8,1
308,1.6,1
309,1.8,1
310,2.4,1
311,2.0,1
312,2.2,1
313,2.0,1
314,2.2,1
315,2.6,1
316,1.6,1
317,2.8,1
318,2.6,1
319,2.0,1
320,2.0,1
321,2.0,1
322,2.0,1
323,2.4,1
324,2.2,1
325,2.2,1
326,2.8,1
327,1.8,1
328,2.0,1
329,1.6,1
330,2.2,1
331,2.0,1
332,1.6,1
333,1.4,1
334,1.2,1
335,1.6,1
336,2.8,1
337,1.6,1
338,2.2,1
339,2.0,1
340,2.4,1
341,1.8,1
342,2.6,1
343,0.8,1
344,1.4,1
345,3.0,1
346,2.0,1
347,2.0,1
348,2.4,1
349,1.8,1
350,2.4,1
351,1.2,1
352,2.0,1
353,2.6,1
354,1.8,1
355,2.0,1
356,1.6,1
357,2.0,1
358,1.8,1
359,2.4,1
360,2.0,1
361,1.4,1
362,2.0,1
363,2.0,1
364,2.2,1
365,2.4,1
366,1.8,1
367,2.0,1
368,2.0,1
369,1.6,1
370,1.8,1
371,2.4,1
372,1.6,1
373,2.0,1
374,2.2,1
375,0.4,1
376,2.4,1
377,1.6,1
378,3.2,1
379,3.0,1
380,2.0,1
381,1.0,1
382,1.6,1
383,3.2,1
384,2.0,1
385,2.4,1
386,2.6,1
387,1.6,1
388,1.6,1
389,2.8,1
390,1.4,1
391,2.0,1
392,1.4,1
393,2.2,1
394,2.6,1
395,1.2,1
396,1.6,1
397,1.2,1
398,1.4,1
399,1.4,1
400,2.2,1
401,3.0,1
402,2.0,1
403,1.6,1
404,2.2,1
405,1.4,1
406,1.4,1
407,2.8,1
408,2.2,1
409,1.8,1
410,2.6,1
411,3.0,1
412,1.6,1
413,1.8,1
414,2.0,1
415,1.6,1
416,2.6,1
417,2.6,1
418,2.2,1
419,1.8,1
420,1.0,1
421,1.8,1
422,1.6,1
423,2.6,1
424,2.6,1
425,2.4,1
426,1.6,1
427,1.8,1
428,2.6,1
429,1.6,1
430,2.2,1
431,2.2,1
432,2.0,1
433,1.8,1
434,1.0,1
435,2.0,1
436,1.8,1
437,2.6,1
438,2.0,1
439,2.0,1
440,1.8,1
441,1.4,1
442,1.4,1
443,1.2,1
444,1.8,1
445,2.6,1
446,1.8,1
447,1.8,1
448,1.8,1
449,1.8,1
450,1.2,1
451,1.6,1
452,2.2,1
453,2.4,1
454,1.8,1
455,2.0,1
456,1.4,1
457,1.6,1
458,1.6,1
459,1.8,1
460,1.0,1
461,2.0,1
462,2.4,1
463,2.2,1
464,2.2,1
465,2.4,1
466,2.0,1
467,2.2,1
468,2.0,1
469,2.0,1
470,2.0,1
471,2.0,1
472,2.2,1
473,3.2,1
474,1.8,1
475,2.0,1
476,1.2,1
477,2.6,1
478,2.4,1
479,2.8,1
480,2.6,1
481,1.6,1
482,2.4,1
483,2.2,1
484,2.4,1
485,2.2,1
486,2.2,1
487,2.2,1
488,1.8,1
489,2.0,1
490,1.4,1
491,2.2,1
492,2.6,1
493,2.0,1
494,2.2,1
495,2.0,1
496,1.6,1
497,2.6,1
498,2.0,1
499,2.2,1
500,1.8,1
501,3.0,1
502,2.2,1
503,1.8,1
504,2.2,1
505,2.6,1
506,1.8,1
507,2.4,1
508,2.0,1
509,2.0,1
510,2.2,1
511,2.0,1
512,2.6,1
513,2.0,1
514,2.2,1
515,2.2,1
516,1.8,1
517,2.4,1
518,2.0,1
519,1.6,1
520,2.4,1
521,3.2,1
522,1.6,1
523,2.2,1
524,1.8,1
525,2.2,1
526,2.0,1
527,2.0,1
528,2.0,1
529,1.6,1
530,2.0,1
531,2.2,1
532,2.6,1
533,2.2,1
534,2.2,1
535,2.6,1
536,1.8,1
537,1.6,1
538,1.8,1
539,2.0,1
540,1.2,1
541,2.4,1
542,2.0,1
543,1.4,1
544,1.6,1
545,1.4,1
546,1.4,1
547,1.2,1
548,2.0,1
549,2.0,1
550,1.8,1
551,1.6,1
552,2.0,1
553,2.6,1
554,1.2,1
555,2.0,1
556,2.2,1
557,1.6,1
558,1.6,1
559,1.0,1
560,1.8,1
561,1.6,1
562,2.4,1
563,2.0,1
564,2.0,1
565,2.4,1
566,0.6,1
567,1.4,1
568,2.4,1
569,2.2,1
570,1.4,1
571,2.4,1
572,1.8,1
573,1.8,1
574,2.6,1
575,2.6,1
576,2.6,1
577,1.6,1
578,2.8,1
579,3.0,1
580,2.0,1
581,2.2,1
582,2.2,1
583,1.8,1
584,2.4,1
585,2.2,1
586,2.0,1
587,1.6,1
588,2.6,1
589,2.0,1
590,2.6,1
591,1.2,1
592,2.2,1
593,2.6,1
594,2.2,1
595,1.8,1
596,1.8,1
597,3.2,1
598,2.2,1
599,2.2,1
600,2.2,1
601,0.8,1
602,2.2,1
603,1.4,1
604,1.6,1
605,2.4,1
606,2.2,1
607,1.4,1
608,2.0,1
609,1.2,1
610,1.2,1
611,1.2,1
612,2.0,1
613,1.2,1
614,2.0,1
615,2.6,1
616,1.4,1
617,1.6,1
618,2.8,1
619,1.0,1
620,2.4,1
621,1.8,1
